epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.0257,2.56242,15.0514,1.24988,0,0,0,0,4.08434,14.3163,1.40036,0.0001,0.0001,0.0001
2,16.743,2.31486,11.1739,1.0736,0.00067,0.4,0.00066,9e-05,1.96885,8.59593,0.79862,0.00021637,0.00021637,0.00021637
3,20.4662,2.35828,13.8966,0.94562,0.001,0.6,0.00091,0.00024,1.51174,7.28451,0.79902,0.00032878,0.00032878,0.00032878
4,22.9492,1.75859,6.25431,0.95581,0.00033,0.2,0.00034,0.00017,1.97406,8.28211,0.85583,0.00043723,0.00043723,0.00043723
5,26.2791,2.11352,8.03423,0.9704,0.00033,0.2,0.00032,3e-05,1.56348,8.20495,0.81779,0.00054172,0.00054172,0.00054172
6,29.1531,1.81456,6.42398,0.94027,0.00033,0.2,0.00028,3e-05,1.42864,7.6518,0.8009,0.00064225,0.00064225,0.00064225
7,31.6302,2.08024,8.05041,1.01012,0,0,0,0,1.68267,8.28004,0.82437,0.00073882,0.00073882,0.00073882
8,33.9414,1.73669,5.76941,1.00974,0.00033,0.2,0.0003,0.00021,1.36363,8.77318,0.80272,0.00083143,0.00083143,0.00083143
9,36.1571,1.86509,5.1497,0.9885,0,0,0,0,1.6394,26.0126,0.85885,0.00092008,0.00092008,0.00092008
10,39.7165,1.8702,6.95743,0.95894,0,0,0,0,2.03043,11.7369,0.92021,0.00100477,0.00100477,0.00100477
11,42.303,1.82574,5.94642,0.90007,0,0,0,0,1.97881,10.3119,0.85033,0.0010855,0.0010855,0.0010855
12,44.5269,1.91224,5.18787,1.00379,0,0,0,0,2.22631,9.18376,0.88674,0.00116227,0.00116227,0.00116227
13,46.8507,1.99496,4.94714,0.95768,0.00067,0.4,0.00077,0.00044,1.8609,7.77176,0.86422,0.00123508,0.00123508,0.00123508
14,49.106,1.95855,4.55817,1.04538,0.00033,0.2,0.00028,0.00011,2.13054,7.68333,0.86186,0.00130393,0.00130393,0.00130393
15,52.6363,2.00322,5.14241,0.95682,0.001,0.6,0.00147,0.00094,1.67165,7.03338,0.84794,0.00136882,0.00136882,0.00136882
16,55.0533,1.85573,4.20428,0.95247,0.00133,0.8,0.0371,0.0156,2.08808,6.45735,0.85888,0.00142975,0.00142975,0.00142975
17,57.3084,2.01193,5.1551,0.96888,0.00133,0.8,0.19888,0.0605,2.09121,5.57201,0.8475,0.001472,0.001472,0.001472
18,59.7236,1.91475,5.10948,0.92769,0.00133,0.8,0.39629,0.12851,2.74617,5.05422,0.9444,0.001439,0.001439,0.001439
19,61.9652,1.97869,4.1357,1.02325,0.37821,0.4,0.31795,0.11712,2.70025,4.62454,0.96751,0.001406,0.001406,0.001406
20,65.3655,1.92294,4.03459,1.00607,0.5723,0.28676,0.449,0.18072,2.21452,3.96413,0.8571,0.001373,0.001373,0.001373
21,67.8447,1.97428,3.77414,0.98255,0.59024,0.30829,0.67599,0.30833,1.90731,3.71029,0.84459,0.00134,0.00134,0.00134
22,70.0597,1.72075,3.69526,0.99435,1,0.59973,0.96167,0.38921,1.89586,2.68194,0.90637,0.001307,0.001307,0.001307
23,72.7239,2.02534,4.20965,1.00663,1,0.7369,0.79514,0.38394,1.93011,2.51915,0.86121,0.001274,0.001274,0.001274
24,75.0549,1.8056,3.29168,0.9585,0.96418,0.8,0.79514,0.40177,1.47404,1.96962,0.79802,0.001241,0.001241,0.001241
25,78.2536,1.80841,3.22949,0.92919,1,0.99879,0.995,0.37212,1.49715,1.78121,0.81291,0.001208,0.001208,0.001208
26,80.7951,1.93422,3.73131,0.86733,1,0.78434,0.79514,0.31698,1.6958,1.67901,0.86379,0.001175,0.001175,0.001175
27,83.0246,1.67875,2.89879,0.99174,1,0.7506,0.79514,0.28413,1.95619,1.73307,0.89035,0.001142,0.001142,0.001142
28,85.3274,1.81697,3.54188,0.88196,0.97354,0.6,0.59521,0.28398,1.90596,1.66842,0.87084,0.001109,0.001109,0.001109
29,87.5873,1.67235,3.35355,0.91505,0.77357,0.8,0.75514,0.27347,2.02124,1.66765,0.89251,0.001076,0.001076,0.001076
30,90.6483,1.62826,3.06424,0.93289,1,0.9987,0.995,0.38431,2.18779,1.66964,0.9219,0.001043,0.001043,0.001043
31,93.2449,1.62675,2.77583,0.91473,0.99897,1,0.995,0.42733,2.08985,1.64549,0.90264,0.00101,0.00101,0.00101
32,95.8168,1.5668,2.4336,0.91934,0.98399,1,0.995,0.4472,1.7886,1.51061,0.86478,0.000977,0.000977,0.000977
33,97.9676,1.53632,2.56731,0.93291,0.99067,1,0.995,0.4472,1.80564,1.47053,0.87346,0.000944,0.000944,0.000944
34,100.082,1.4664,2.35131,0.8851,0.99714,1,0.995,0.52656,1.86172,1.39418,0.8796,0.000911,0.000911,0.000911
35,102.796,1.57994,2.64037,0.88164,1,0.99946,0.995,0.57157,1.76283,1.41364,0.86765,0.000878,0.000878,0.000878
36,105.777,1.51833,2.32885,0.92406,1,0.98996,0.995,0.61114,1.4302,1.24865,0.8281,0.000845,0.000845,0.000845
37,107.977,1.64773,2.28045,0.95865,1,0.98987,0.995,0.60601,1.38537,1.21915,0.81397,0.000812,0.000812,0.000812
38,110.425,1.34797,1.94108,0.8909,0.99951,1,0.995,0.5828,1.4314,1.20193,0.80559,0.000779,0.000779,0.000779
39,112.485,1.45202,1.90788,0.88559,0.99241,1,0.995,0.5828,1.35345,1.26262,0.80135,0.000746,0.000746,0.000746
40,115.013,1.37025,1.99225,0.88846,0.99048,1,0.995,0.62566,1.09385,1.22309,0.79224,0.000713,0.000713,0.000713
41,118.045,1.40307,2.11959,0.89261,0.97178,1,0.995,0.56093,1.1241,1.23064,0.78598,0.00068,0.00068,0.00068
42,120.334,1.3701,2.0099,0.87519,0.97512,1,0.995,0.54398,1.21074,1.29193,0.79447,0.000647,0.000647,0.000647
43,122.818,1.71149,2.52243,0.91092,0.9809,1,0.995,0.57115,1.30374,1.30026,0.79453,0.000614,0.000614,0.000614
44,124.963,1.42715,1.8507,0.90937,0.98622,1,0.995,0.61148,1.29147,1.23817,0.79945,0.000581,0.000581,0.000581
45,127.31,1.37019,1.72136,0.91009,0.98625,1,0.995,0.61115,1.31709,1.21845,0.80824,0.000548,0.000548,0.000548
46,130.654,1.50308,2.20398,0.85493,0.98581,1,0.995,0.56118,1.26378,1.23321,0.80791,0.000515,0.000515,0.000515
47,132.854,1.3507,1.8382,0.8932,0.98595,1,0.995,0.5764,1.24292,1.18651,0.80728,0.000482,0.000482,0.000482
48,135.051,1.41035,1.79241,0.86384,0.98653,1,0.995,0.64148,1.11371,1.19104,0.79519,0.000449,0.000449,0.000449
49,137.209,1.28209,1.70256,0.90883,0.98665,1,0.995,0.64148,1.11195,1.18647,0.79004,0.000416,0.000416,0.000416
50,139.577,1.3971,1.73116,0.90413,0.99169,1,0.995,0.6114,1.02646,1.18797,0.79814,0.000383,0.000383,0.000383
51,149.889,1.36002,2.74257,0.88683,0.99484,1,0.995,0.61114,1.0242,1.13109,0.79468,0.00035,0.00035,0.00035
52,155.092,1.2887,2.38216,0.88512,1,0.99716,0.995,0.64947,1.12853,1.14666,0.80115,0.000317,0.000317,0.000317
53,158.621,1.52444,2.81857,0.94195,1,0.9967,0.995,0.68609,1.16048,1.19013,0.80474,0.000284,0.000284,0.000284
54,161.361,1.18032,2.19896,0.89392,1,0.99598,0.995,0.68143,1.23126,1.14216,0.8047,0.000251,0.000251,0.000251
55,163.668,1.57313,2.79754,1.00303,1,0.99538,0.995,0.66145,1.1752,1.10049,0.80396,0.000218,0.000218,0.000218
56,166.011,1.32633,2.01127,0.87948,1,0.9964,0.995,0.71262,1.01988,1.06679,0.79923,0.000185,0.000185,0.000185
57,169.307,1.29222,2.04944,0.85002,1,0.99867,0.995,0.72916,0.95786,1.03091,0.79454,0.000152,0.000152,0.000152
58,171.465,1.37531,2.62209,0.8859,0.99848,1,0.995,0.7359,0.90442,1.02043,0.78891,0.000119,0.000119,0.000119
59,173.623,1.35574,2.26561,0.82994,0.99846,1,0.995,0.70104,0.9093,1.03464,0.78476,8.6e-05,8.6e-05,8.6e-05
60,175.845,1.25002,2.3493,0.93187,0.99989,1,0.995,0.70104,0.9096,1.02993,0.78377,5.3e-05,5.3e-05,5.3e-05
